repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
stainless-api,upload-openapi-spec-action,utilities,167,2.0,23,9,7,3,14,11,1047,30,10,30,9,1047000,0
steffen-karlsson,stalesweeper,support,19,5.0,2,4,0,1,11,2,2513,24,3,22,1,2513000,1
step-security,wait-for-secrets,security,37,1.0,14,8,18,3,279,7,4858,30,18,30,8,4858000,0
stepci,stepci,testing,281,5.0,4,30,78,12,1696,18,508,30,59,30,5,508000,1
stoat-dev,stoat-action,utilities,2607,28.0,6,14,3,1,67,4,11262,30,18,30,4,11262000,2
superman66,wakatime-sync,project management,52,9.0,3,1,107,3,115,4,933,30,5,16,3,933000,2
swinton,screenshot-website,code quality,103,5.0,15,2,26,4,191,3,2388,30,17,30,7,2388000,1
synopsys-sig,detect-action,security,57,8.0,13,2,32,9,28,6,5956,30,43,30,14,5956000,2
sysdiglabs,scan-action,security,36,7.0,8,11,10,12,30,8,1069,30,7,30,4,1069000,2
szenius,notion-burndown,project management,59,9.0,1,7,24,4,64,2,4527,30,0,30,0,4527000,2
teatimeguest,setup-texlive-action,utilities,125,3.0,4,30,2,4,44,3,10384,30,11,30,2,10384000,1
